"ssn","bank_name","IBAN","account_id"
"67490788256","ملی","IR377128553327435542970208","547276"
"67490788256","تجارت","IR766127992263636919190923","399499"
"84381111246","سرمایه","IR386288403591157797174772","827101"
"84381111246","ملی","IR759941781406084689193332","733396"
"84381111246","صادرات","IR581330530117158109964519","823144"
"84381111246","ملی","IR577356783858724565330177","699121"
"21311572759","تجارت","IR567918864589836720113940","244652"
"67769492519","ملی","IR593069771249340979346493","598510"
"67769492519","ملت","IR574378547588188470749596","701361"
"67769492519","ملت","IR737277501970746899558475","456693"
"67769492519","صادرات","IR754425342186503177230245","332868"
"79592286954","صادرات","IR824895431726654444417371","356438"
"79592286954","ملی","IR546151409387803195720482","989916"
"79592286954","ملت","IR169069957335600761903906","755605"
"79592286954","صادرات","IR439468003813505406426758","359295"
"79592286954","سرمایه","IR784238310672059802599245","746169"
"13850965163","تجارت","IR506173922707875193384038","271314"
"34736813201","سرمایه","IR627838939065225280040604","877778"
"34736813201","سرمایه","IR632752938741344153231928","650771"
"34736813201","تجارت","IR903819443555913688436142","116144"
"44257688222","سرمایه","IR114065983782991590622687","188047"
"24198195597","صادرات","IR289041559857769112377579","501945"
"24198195597","ملت","IR598532239455247053390718","852111"
"24198195597","تجارت","IR442336947183364667357336","793316"
"53626771931","ملی","IR811687271762725707945586","160523"
"53626771931","تجارت","IR634352719017162938367352","279215"
"53626771931","تجارت","IR651337300345338560372363","209725"
"53626771931","صادرات","IR772107382478658692821119","519676"
"53626771931","تجارت","IR400340956634906400020357","645647"
"85238897401","صادرات","IR982420792536098121309688","291993"
"85238897401","تجارت","IR612529170404360025387058","295612"
"85238897401","صادرات","IR906662919004938601827751","495084"
"85238897401","تجارت","IR983780063607743501205947","415768"
"55425443522","تجارت","IR224204964568046846305924","433268"
"55425443522","ملی","IR516803562152852821424296","840451"
"55425443522","سرمایه","IR704453386021068624889863","320604"
"55425443522","ملی","IR944654270271727293585272","581915"
"55425443522","تجارت","IR672232235571979453819055","131289"
"57408232788","تجارت","IR657359064338562378768745","109473"
"57408232788","ملی","IR695900384946853343226725","889250"
"57408232788","سرمایه","IR693459090078525225499714","738163"
"57408232788","صادرات","IR381300965410980990556000","691452"
"57408232788","ملی","IR689293324262803552891665","395464"
"30648577524","صادرات","IR137329251737450912084321","910083"
"30648577524","سرمایه","IR416633304782344301316413","212547"
"26712738134","ملی","IR994921036723150224172175","192865"
"26712738134","تجارت","IR844601768610136945667885","220494"
"26712738134","تجارت","IR159823442238245387447793","357415"
"72145435624","سرمایه","IR466749387819410602553142","100897"
"73715393803","ملت","IR808705646120330549710112","486547"
"73715393803","ملی","IR141699391628725221037462","125602"
"32714134012","ملی","IR669662649310968881972747","553300"
"32714134012","ملت","IR104802795338400489042508","685624"
"32714134012","ملی","IR928669707558071299329813","597008"
"32714134012","تجارت","IR172387769788271972022343","162724"
"87070515537","تجارت","IR494397125758931682953729","784301"
