"from","to","call_id","date","duration"
"09211014919","09540603453","705564","1986-01-28T01:28:43","12:21"
"09900405867","09889952976","328437","1974-12-28T15:05:49","03:24"
"09612295900","09532363285","798933","1975-08-11T05:14:08","00:45"
"09736884696","09370265647","890173","1994-01-24T10:07:09","09:12"
"09703338530","09851606810","290819","1981-09-07T20:43:43","15:18"
"09431649955","09163188809","645162","1991-11-07T00:34:16","23:47"
"09253442629","09597875448","220111","1974-10-01T17:33:44","19:28"
"09192450252","09795045411","170550","2003-02-19T07:00:01","10:39"
"09566687437","09256632283","582174","1994-12-13T21:36:10","07:00"
"09340910823","09154381525","708179","1996-04-28T03:17:31","04:21"
"09822943184","09109338103","643828","1982-07-06T06:20:52","02:21"
"09839433085","09720363958","217371","1997-07-12T07:46:52","19:39"
"09501836570","09543473512","393305","2003-11-03T23:28:07","15:09"
"09700018050","09332421402","828855","1996-02-17T05:58:27","22:56"
"09202714670","09765107215","690753","1979-12-16T13:11:58","12:07"
"09754753939","09362584348","450917","2005-11-24T18:53:02","14:55"
"09374459321","09783459804","684587","2005-10-07T06:30:14","11:48"
"09895628192","09930409088","389972","1994-04-28T01:55:01","12:12"
"09384862370","09956465802","492552","1981-04-10T16:20:14","06:29"
"09911225121","09370622770","998286","1996-12-09T03:07:10","08:51"
"09368243668","09436417434","327230","2017-12-16T09:03:49","08:12"
"09154453518","09681452451","827947","1988-11-29T12:50:32","21:25"
"09416257051","09231366506","796708","1972-11-26T22:26:56","18:17"
"09556738309","09323444400","103335","1975-05-14T15:30:58","22:21"
"09279970315","09715041782","766590","1981-12-19T03:24:48","08:03"
"09872747750","09377342822","183068","1974-04-28T14:51:19","17:05"
"09123870899","09707578321","897721","1988-12-18T23:43:38","10:03"
"09258187591","09394665700","726396","1971-03-08T06:12:54","21:29"
"09753917384","09517604778","562681","2012-09-23T03:37:36","01:13"
"09881325059","09797493436","876460","2016-09-20T02:08:51","04:43"
"09366281339","09417769048","650934","1994-12-26T06:35:22","01:04"
"09903668504","09734044591","366970","2003-06-06T04:19:54","06:47"
"09627409359","09749438088","795485","1986-11-21T18:50:54","23:24"
"09934132860","09736636262","259247","2003-08-24T08:58:08","07:54"
"09975517682","09383874906","827686","1982-04-03T19:20:28","10:59"
"09351898714","09112465550","225614","1982-07-15T11:18:27","05:18"
"09751251424","09427855025","755375","2016-05-03T10:56:06","22:41"
"09176552043","09970922164","271849","2017-10-24T18:54:31","14:14"
"09762481252","09563680208","941242","2007-02-24T06:08:58","00:00"
"09874605051","09145580286","308973","2016-08-30T06:02:50","07:28"
"09911267776","09814758557","697057","2008-06-05T20:23:08","15:31"
"09762810056","09248088856","909654","2004-10-08T03:56:04","23:09"
"09792680797","09675650562","642551","1973-08-24T06:57:58","07:23"
"09803210108","09490513533","730903","1971-10-08T08:42:31","12:10"
"09343876468","09364200389","425761","2020-10-24T11:04:06","12:26"
"09285098756","09120011429","220779","2018-03-28T14:09:06","16:25"
"09269327463","09287554781","909948","2006-08-27T04:00:23","19:20"
"09482607583","09975509013","462624","1988-10-11T03:00:54","03:59"
"09508031906","09357033015","798740","2016-01-15T16:46:57","17:02"
"09684997074","09172878632","201061","1990-12-30T01:36:03","03:00"
"09334715709","09952716305","141996","1972-12-09T17:24:23","17:11"
"09888683544","09741763669","645237","2017-07-11T11:01:23","08:11"
"09890680768","09592833177","756289","2005-03-26T12:21:54","09:47"
"09918916905","09120645931","746313","2015-08-26T13:35:25","03:51"
"09197761913","09213084034","168840","1987-08-02T10:00:25","08:16"
"09113813649","09634287688","429111","2014-05-24T04:59:23","21:10"
"09601944903","09785488264","584500","1984-05-21T18:00:43","17:05"
"09117862489","09883102259","252295","1994-08-28T12:26:25","23:07"
"09716070207","09644569092","538351","1986-11-15T21:24:40","23:29"
"09820811048","09280442868","295933","2002-01-16T05:34:13","09:07"
"09544698273","09649323128","847992","2018-09-10T22:44:44","06:39"
"09281067180","09531200318","733943","2010-02-26T15:46:34","04:30"
"09551892373","09724705201","725285","1993-05-21T02:01:20","05:09"
"09448651905","09180157286","448567","2004-06-06T23:53:34","20:55"
"09159464142","09992105239","623030","1997-05-10T18:14:57","10:34"
"09374860273","09974613249","503087","2011-04-29T17:42:09","22:38"
"09455183438","09579366713","521554","1997-12-13T03:45:48","09:47"
"09100961305","09829957803","131249","1971-02-09T00:45:52","14:38"
"09890963269","09439285062","164541","2019-02-14T00:31:50","10:28"
"09801828021","09476190300","738541","2002-01-16T17:16:09","22:38"
"09298677877","09730934790","444496","1971-06-05T22:13:35","05:36"
"09757310179","09736016191","832334","1974-09-04T09:12:38","09:26"
"09908950749","09680097180","256201","1983-11-02T17:55:27","08:31"
"09162705478","09621369834","750886","1973-11-07T21:45:57","07:42"
"09474472999","09355620942","403417","2006-11-04T06:13:15","14:59"
"09247444719","09943065523","354899","2000-12-14T13:00:26","02:31"
"09505958524","09575193629","920729","1977-08-08T21:30:47","04:48"
"09829957803","09242990632","631728","1978-07-27T12:46:12","22:17"
"09925097065","09974591400","717244","2018-03-08T03:33:57","01:48"
"09498246992","09821018403","792818","1974-08-16T15:18:01","06:18"
"09541955319","09956098305","525834","2001-01-28T14:13:56","17:39"
"09590138774","09556879682","546497","1989-06-12T09:07:27","12:01"
"09236871160","09439381891","150688","1988-05-23T22:16:43","02:09"
"09461643211","09529900742","828918","1976-04-24T02:14:48","02:54"
"09847510408","09379047548","431901","1995-09-23T05:46:58","01:51"
"09307857944","09920472394","453045","2004-05-07T08:50:02","13:58"
"09466727985","09749089492","349483","1993-05-08T00:09:15","17:30"
"09235889476","09406269821","309190","1974-01-09T19:00:38","10:44"
"09986168540","09213018565","964176","1979-05-01T00:04:10","21:23"
"09800121041","09162780716","562391","2010-02-15T22:51:32","07:07"
"09132860727","09734687832","950613","1984-07-03T07:33:07","01:26"
"09571872350","09385210509","853907","2011-02-02T20:19:02","21:50"
"09504982092","09200148664","611884","2003-07-17T04:07:17","14:16"
"09882954632","09393001721","752861","2020-03-17T05:13:54","05:31"
"09847510408","09980499549","635534","1973-11-03T21:41:16","23:02"
"09701742621","09806831752","561659","2001-05-08T04:29:38","07:18"
"09244897727","09299939839","780997","1975-12-02T06:47:01","22:37"
"09774108054","09844625200","994567","1986-04-13T04:47:38","17:56"
"09703296280","09493114860","889835","1988-05-31T06:03:15","05:01"
"09137271301","09987776058","741238","1984-04-26T23:10:20","20:02"
"09809270578","09740200940","537713","2017-07-12T23:40:50","08:12"
"09473589258","09247142173","723654","2019-09-17T18:54:07","18:27"
"09158509844","09600145657","946659","1987-05-19T03:06:42","20:33"
"09951392420","09316451091","759815","1989-05-02T02:38:23","11:21"
"09952440562","09630771810","663818","1987-04-30T02:17:29","09:29"
"09644665176","09485780097","633770","1978-11-12T12:25:18","01:07"
"09422835632","09514871919","326577","2017-04-11T01:33:42","09:51"
"09902492504","09731503856","839248","1986-05-16T23:36:49","01:19"
"09612784023","09386945537","582310","2015-10-03T22:57:43","21:01"
"09413670595","09901778537","625708","1975-08-24T21:29:42","18:19"
"09976284252","09698208079","422178","2015-06-11T16:59:48","12:46"
"09718725534","09496862804","279484","1991-03-23T15:03:53","17:57"
"09660283153","09249992518","689895","2005-11-06T01:10:19","22:36"
"09591413999","09629147048","839075","2006-07-15T08:25:24","01:54"
"09240480299","09335652032","314939","1989-05-18T19:01:50","17:25"
"09492758258","09462140572","434925","1978-03-13T13:46:30","08:32"
"09252427080","09794289102","250627","1987-04-28T13:19:02","13:43"
"09739418008","09180840234","367371","2008-05-01T22:21:52","22:58"
"09668241556","09739089172","962032","1978-08-04T18:25:26","16:33"
"09999847003","09453334408","726288","1975-05-11T13:11:13","20:25"
"09175952732","09927053334","814853","1993-03-13T12:37:08","22:37"
"09761458148","09396291503","311129","2012-04-28T22:23:51","02:32"
"09892479181","09893423978","908415","1995-07-02T07:24:53","23:14"
"09340822329","09667102523","897154","1974-11-21T20:54:51","02:42"
"09508990510","09401926788","708180","1996-07-31T19:34:39","13:02"
"09703296280","09888909929","801683","2003-10-10T18:37:23","23:30"
"09830804933","09972388823","943382","2006-06-27T02:22:23","14:39"
"09977584205","09267738148","235325","2021-01-06T23:25:27","09:34"
"09630883892","09963792952","490201","1975-10-18T08:00:48","00:41"
"09462481845","09998324372","528198","2000-05-07T22:51:07","04:17"
"09346765278","09787353252","959188","1995-12-15T15:02:17","14:10"
"09566138770","09759107195","384086","2012-05-06T05:22:20","10:02"
"09580616990","09645639253","864253","1990-05-02T16:07:01","15:08"
"09464518277","09202949008","794812","1975-06-23T22:09:45","01:26"
"09639979747","09570179103","292129","1982-05-06T20:23:52","21:26"
"09679614651","09996021571","104268","1986-07-03T15:44:32","14:51"
"09827393882","09635027232","934790","1999-12-06T08:37:00","02:11"
"09581337418","09631051148","771858","1995-09-30T18:46:37","05:16"
"09244935756","09453231783","915211","2011-10-18T19:54:29","06:22"
"09883102259","09427051004","918567","2015-07-25T13:37:24","22:40"
"09328175784","09558946121","527990","1982-06-28T12:24:27","14:03"
"09167169404","09773035003","798864","1983-05-27T03:14:05","01:12"
"09656121826","09274622805","720873","2004-03-20T02:39:06","20:14"
"09653783233","09161202853","726188","2013-06-13T04:58:30","23:21"
"09111956730","09825472582","700639","2011-12-04T02:24:31","15:19"
"09166295813","09227510635","762016","1983-07-16T23:46:27","23:48"
"09967632475","09711558552","381804","1985-06-03T03:02:46","16:42"
"09668176062","09411579018","502894","1979-11-24T11:26:41","21:14"
"09438825237","09842412220","807167","1976-04-24T10:08:33","10:51"
"09553587236","09281859435","421750","1970-11-30T20:54:47","08:26"
"09656571524","09677616629","620771","1981-06-30T02:45:57","20:33"
"09816941628","09952376306","297900","2011-02-04T22:06:51","13:19"
"09838216859","09435925500","638251","2003-05-12T04:52:02","06:58"
"09634693794","09370909252","615120","1982-09-11T08:58:31","07:42"
"09360794281","09352070790","510618","1988-02-29T13:38:14","18:22"
"09489133484","09636669331","843214","2018-07-18T00:23:00","19:33"
"09804062126","09151863627","422106","2003-10-14T13:54:54","23:49"
"09741969391","09499703032","209576","1976-06-24T15:06:46","23:08"
"09992105239","09425705361","357864","1981-02-24T01:02:15","14:01"
"09133587875","09212936181","792608","1991-05-22T16:16:39","23:22"
"09478935898","09718460154","399774","1986-11-26T11:19:21","08:21"
"09348985050","09231962335","530881","2007-09-13T10:39:13","00:10"
"09113813649","09533675582","341217","1970-02-06T10:14:52","06:17"
"09619562638","09936669005","612331","1976-12-11T05:14:33","00:48"
"09113739396","09305479722","357445","1978-09-01T05:46:21","12:15"
"09574952542","09288240123","417760","1977-11-23T18:13:20","21:18"
"09580010845","09618608111","506771","1990-12-31T01:23:37","10:07"
"09973820873","09493637505","835445","2009-06-16T20:50:03","18:38"
"09263104689","09505551796","294569","1990-01-13T16:02:32","12:22"
"09168890369","09185603268","968955","1999-04-09T08:52:31","05:06"
"09562875672","09565157308","215978","1980-08-25T03:06:50","10:07"
"09291529981","09431836720","114531","1970-01-10T04:02:44","12:59"
"09790679791","09922241273","786715","2000-06-04T07:04:13","13:25"
"09714520380","09635504632","805433","2017-07-22T21:43:23","23:28"
"09523335442","09653134785","180385","1987-11-11T01:13:42","01:25"
"09402383258","09392349406","438550","2011-04-15T12:12:29","04:07"
"09508238400","09127400374","886179","1993-06-12T09:01:34","12:56"
"09151940832","09985182609","400049","2017-06-20T09:00:05","04:45"
"09879632961","09576492575","234901","2002-07-26T03:24:00","08:24"
"09599233654","09589916337","154913","1973-02-25T11:06:38","15:41"
"09147201691","09755111284","152204","2020-10-14T14:35:04","07:36"
"09290929779","09635504632","880204","1995-08-14T17:51:30","11:13"
"09456443621","09279802811","589862","1999-10-20T12:59:15","03:54"
"09984747434","09366398900","471365","2020-02-11T17:34:07","09:19"
"09474472999","09268034584","858372","1972-11-16T07:50:14","14:39"
"09773520989","09319668956","215272","2007-01-24T19:20:10","18:28"
"09845948144","09971031313","236342","1983-07-13T21:27:26","17:56"
"09180356756","09324612643","669034","1973-04-26T13:38:09","13:18"
"09849556272","09478026116","829630","1999-08-15T00:15:17","18:40"
"09179762190","09680097180","135061","1994-06-25T05:35:47","21:24"
"09280856318","09810862562","557256","2012-08-14T10:59:20","07:08"
"09690893579","09767092238","920096","1984-02-16T12:41:56","23:05"
"09713554353","09561578543","457486","1990-11-05T21:51:59","13:58"
"09964901777","09390379851","231359","2007-07-15T01:40:12","08:55"
"09872417799","09758097947","950430","2017-04-29T04:11:10","05:28"
"09142477323","09117838565","940189","1978-12-18T18:13:31","20:56"
"09200872776","09649528288","526434","1994-12-03T17:26:31","05:33"
"09234665139","09805266221","771127","2013-10-03T08:28:00","11:41"
"09764084744","09501743597","974595","2001-10-21T17:33:06","13:19"
"09880441714","09266088399","916577","1985-05-23T22:07:54","13:50"
"09550438290","09249621093","212863","1980-08-09T07:08:35","01:49"
"09414030389","09461992899","376743","1982-12-17T16:36:38","15:44"
"09592303798","09407844757","382395","2002-08-19T21:37:02","06:36"
"09843474231","09748665218","317429","1985-07-24T14:32:34","21:23"
"09791214691","09493894613","141741","1985-10-21T06:05:07","21:27"
"09371342991","09952304334","426780","2016-04-14T16:22:44","17:19"
"09430104477","09116482623","202955","2008-01-04T00:34:23","16:48"
"09914555187","09184967910","712123","1972-01-26T00:23:00","17:15"
"09964857810","09513635934","439704","1998-04-04T12:12:37","19:00"
"09504381842","09262553911","988568","1974-08-30T00:01:48","15:20"
"09209326243","09652431182","272655","1996-06-03T21:06:00","20:05"
"09564228452","09131156383","443973","1971-10-23T22:41:14","01:23"
"09160853991","09369213278","877766","2005-10-31T10:13:16","17:10"
"09334930528","09106671751","470013","2012-04-27T16:58:53","07:51"
"09496485008","09288312618","527574","1971-12-19T23:05:34","19:50"
"09980404521","09571872350","143297","1983-10-27T00:25:54","06:02"
"09885693696","09807816170","902340","2009-09-21T12:38:46","02:14"
"09835348683","09991974721","959981","1986-12-25T02:52:59","23:01"
"09612511723","09479109136","502577","1999-07-14T19:34:19","09:44"
"09599706029","09400410828","226234","2003-08-26T02:37:00","07:57"
"09414600755","09786859326","921006","1980-08-18T23:58:23","07:39"
"09484733887","09307857944","117104","2010-06-10T01:48:16","10:22"
"09644761462","09404617248","410131","1990-01-09T05:49:26","09:00"
"09814758557","09301380419","870004","1998-07-24T13:13:56","21:15"
"09169229487","09701333694","957211","1991-02-06T03:06:20","01:16"
"09431237330","09936048130","428169","1970-07-19T20:29:23","18:51"
"09157028049","09380620302","450041","1990-09-13T10:02:35","15:02"
"09180840234","09794057094","418929","1997-05-08T13:46:17","00:39"
"09632058169","09239820314","901733","2020-08-21T06:53:10","02:02"
"09920806224","09306837731","982994","1996-05-25T17:17:13","16:42"
"09162819975","09173350827","528451","2019-12-14T23:53:16","09:08"
"09157447416","09529300506","851054","2006-08-03T00:33:08","16:26"
"09287586338","09653787028","221322","2010-10-30T22:06:43","10:25"
"09787353252","09753917384","590599","1997-02-24T23:16:57","21:47"
"09130421493","09419715184","106488","1995-01-23T05:05:54","10:51"
"09378481369","09540990441","461128","2005-02-17T07:11:16","01:21"
"09786855939","09924811196","664753","2017-09-08T11:03:47","01:39"
"09454341685","09845197441","397272","1999-05-05T03:22:53","21:56"
"09182462066","09355255431","501209","1982-06-19T01:58:12","15:15"
"09346477245","09809005244","992416","1979-11-16T03:21:05","00:33"
"09456444364","09501521628","975128","1991-12-09T07:06:13","18:25"
"09999268521","09622245395","109678","1990-11-17T15:37:25","09:22"
"09236479541","09337321103","921780","1986-08-20T08:27:54","07:11"
"09384887279","09373392811","486652","1979-12-25T20:50:22","21:18"
"09140761343","09512043914","390222","2011-09-22T21:20:31","16:05"
"09740660779","09196697907","484124","2010-02-16T20:52:22","17:46"
"09452098718","09935916637","787430","2003-01-16T06:52:55","19:23"
"09321060598","09931731048","378617","2015-04-18T03:35:57","12:36"
"09934343700","09994125364","128882","2017-08-29T06:20:26","02:33"
"09213599544","09432633765","250431","2000-10-20T14:04:50","16:42"
"09600145657","09686613510","940756","1981-08-02T09:43:58","18:10"
"09851500771","09601813870","949867","2010-07-29T04:12:01","09:53"
"09502958310","09192013775","462589","1989-09-16T01:41:36","16:30"
"09742360220","09386587634","423316","1983-07-14T21:47:57","12:30"
"09796370381","09968698560","867313","2006-01-23T08:43:42","10:09"
"09958308355","09934132860","297991","1990-03-31T06:17:22","10:26"
"09473073967","09246309591","243158","2002-02-19T05:03:29","21:56"
"09728256308","09785040968","419621","1974-11-16T12:14:49","04:15"
"09468271291","09879587862","276362","1981-06-08T02:04:42","08:01"
"09147105408","09927448800","661535","1980-01-29T13:31:48","06:41"
"09567550701","09354810918","407124","1980-02-20T17:48:46","01:32"
"09102207525","09306803405","781811","1995-02-03T20:17:15","01:04"
"09392110019","09668905890","574975","1992-06-14T05:08:13","05:03"
"09627634437","09902417574","114812","2008-05-24T21:07:25","13:48"
"09179379480","09397680188","808334","1991-07-06T08:34:42","15:47"
"09134868537","09390379851","795305","2013-08-27T23:59:21","02:23"
"09984747434","09849920679","882901","2016-04-23T16:55:09","00:44"
"09449058906","09657772750","972435","2016-07-16T13:39:35","04:44"
"09801733405","09181372181","924047","1993-01-14T18:26:49","17:47"
"09240274622","09553587236","731031","1973-12-02T05:49:28","06:24"
"09475355804","09335366435","490821","2003-01-06T09:48:44","20:07"
"09851229865","09799721400","843584","1974-02-10T04:04:04","00:42"
"09378432024","09726868879","899636","2006-06-04T19:42:34","00:17"
"09330765713","09445316807","941863","2014-01-04T14:46:01","07:04"
"09919842234","09503545618","511512","1977-12-03T19:13:10","14:27"
"09925383758","09873973277","163501","2011-07-06T22:20:46","03:39"
"09288312618","09999994852","730813","2005-01-23T06:25:31","23:32"
"09169040832","09226667338","761005","1986-01-30T03:06:39","03:03"
"09854449729","09345406571","426523","2008-05-09T14:37:33","06:47"
"09880564493","09172406429","542125","2007-09-27T10:07:36","12:29"
"09250219916","09824535743","707049","2016-03-27T15:29:42","23:09"
"09606873069","09249992518","715502","2014-05-13T16:01:21","02:51"
"09721252532","09326280525","879887","1987-04-02T14:55:14","03:13"
"09840152222","09685244511","867923","1978-04-17T11:10:22","19:43"
"09612784023","09782628892","800899","1976-04-22T04:54:58","17:03"
"09188703980","09236185650","659981","1989-10-08T10:57:21","21:06"
"09872436338","09142252880","398577","2010-02-11T17:31:21","11:06"
"09676728466","09105698830","346899","1984-11-26T09:05:33","07:01"
"09646928772","09719747604","710145","1997-08-17T05:05:19","14:31"
"09905269866","09695307911","618469","1976-06-07T17:19:39","21:01"
"09768611425","09399285408","231789","2003-12-06T00:25:41","05:52"
"09660283153","09452946205","163854","1993-08-03T13:05:21","22:02"
"09309515363","09573289425","920452","2013-11-07T20:02:44","00:04"
"09475546562","09624867173","827912","2011-07-30T20:49:29","02:41"
"09986692142","09206431342","128170","2003-08-22T23:18:10","01:49"
"09452148322","09426131150","744528","2000-06-24T02:14:54","21:23"
"09939513720","09647978310","437017","2013-03-13T23:12:59","14:50"
"09247733389","09486057824","238585","1974-10-16T16:41:26","10:18"
"09254830669","09260444053","704247","2001-04-07T10:11:25","12:22"
"09579859970","09873701197","415542","1982-10-05T13:49:40","02:44"
"09338324098","09960134330","575496","1980-05-24T21:18:05","23:06"
"09351763469","09798823229","765976","1975-03-16T14:48:49","06:20"
"09288850595","09232428707","438483","2008-09-04T01:31:33","09:24"
"09153612430","09784992093","783650","2011-08-02T04:19:57","19:56"
"09709272276","09616783432","796740","2020-06-17T02:46:42","11:26"
"09701137761","09555375815","190459","1992-04-11T02:49:40","23:55"
"09940266634","09794758281","896260","2019-04-21T05:34:45","00:23"
"09494451393","09338901537","442321","1998-12-18T14:44:30","15:31"
"09973896056","09140487198","299113","1996-01-01T20:59:05","18:03"
"09398578942","09232818159","565396","1981-03-02T01:36:59","10:55"
"09885294284","09160444374","603996","1972-06-24T11:16:53","18:12"
"09734172109","09190743895","889420","1970-01-12T19:51:19","02:27"
"09602788601","09488457770","222869","1975-10-21T15:26:24","16:45"
"09760600510","09762204239","784210","1976-03-01T20:33:21","08:20"
"09843740305","09371723412","460650","1973-01-19T23:32:10","16:31"
"09273088691","09894491379","547095","1979-03-31T05:39:44","04:38"
"09808370016","09379187349","481568","1989-12-23T10:35:07","15:24"
"09217461813","09281361040","640415","1995-08-13T21:53:40","00:20"
"09330362868","09419559800","104650","1991-05-30T15:07:20","20:31"
"09349383961","09523409925","554266","1971-11-28T10:48:30","16:46"
"09276637063","09400265305","758238","2019-03-09T06:04:17","09:24"
"09535696426","09961632710","649218","1989-03-10T16:47:30","17:31"
"09266695770","09162142024","215605","1983-02-02T00:24:59","02:27"
"09123622190","09988333034","897255","1993-12-01T02:10:53","21:19"
"09712259130","09957996762","219567","1992-02-02T03:32:15","22:05"
"09658622171","09901843992","715729","1997-09-11T20:32:30","00:47"
"09255594348","09262488797","837230","2015-12-15T01:27:40","05:14"
"09972336465","09931007758","296246","1991-05-30T11:28:53","06:52"
"09588932865","09935986122","386129","2020-02-20T04:34:37","04:17"
"09740036878","09361275006","376454","1994-08-29T08:13:43","19:32"
"09403315216","09270536232","222427","1981-06-12T22:31:57","20:20"
"09849556272","09348678956","375362","1970-12-27T16:39:45","00:52"
"09932065413","09332000564","258560","1988-11-03T09:25:36","19:46"
"09877324380","09715606598","264045","2015-02-13T21:13:43","07:48"
"09370793810","09424913113","687633","2012-09-09T18:02:29","22:31"
"09658087458","09239430236","320838","1972-01-13T10:07:00","22:40"
"09542549869","09383278091","496133","1975-11-22T09:08:10","21:00"
"09515545410","09795045411","347463","1974-11-05T08:00:42","17:19"
"09873397911","09836471679","137998","2014-01-20T07:13:59","01:54"
"09250780552","09581323805","674605","2006-04-30T00:18:12","00:44"
"09318151519","09363617368","626592","2011-12-17T12:40:40","13:09"
"09231632469","09981764299","391844","1973-07-28T09:24:57","06:17"
"09564258761","09261365902","359651","1975-09-01T01:24:02","05:10"
"09890390543","09980610854","670719","2005-03-14T06:17:51","04:45"
"09487348612","09368243668","283322","2003-04-13T09:11:05","03:13"
"09986286649","09288265105","305526","1971-04-28T17:38:54","18:56"
"09808437274","09929249627","445383","2019-12-01T05:05:32","04:42"
"09221316605","09149269746","492483","1974-10-01T10:55:45","18:16"
"09721148303","09981421697","930321","2012-11-26T17:52:58","00:16"
"09729566871","09828148871","783263","1990-03-05T23:03:21","03:40"
"09335366435","09986784971","513707","2009-06-07T22:50:39","07:34"
"09713354249","09744741260","135003","2007-03-26T18:46:03","08:04"
"09498172853","09409887552","999467","2002-07-05T21:18:17","08:22"
"09735969919","09919387142","296267","1997-05-31T07:55:45","20:30"
"09516045075","09536602580","924496","2018-06-02T03:27:21","21:46"
"09730483958","09727819975","176301","1985-09-24T06:00:43","01:45"
"09664370120","09819061650","907100","1997-03-23T13:17:29","21:44"
"09611088262","09689796847","778116","2018-12-23T12:50:05","17:41"
"09723487059","09384725321","273765","2008-05-31T23:30:33","19:57"
"09663415617","09114395263","847613","1970-04-18T20:22:45","03:29"
"09867686899","09976699797","234855","2013-02-01T10:18:16","13:36"
"09995409944","09362039906","209632","1971-11-16T22:09:29","13:39"
"09602110013","09727725675","405456","2009-11-02T05:08:43","11:23"
"09293045453","09136051684","418681","2001-01-11T04:39:17","20:51"
"09507554263","09724937522","522728","1971-08-12T23:13:52","22:06"
"09506077024","09644569092","443368","1989-06-23T19:07:37","01:43"
"09829957803","09343044259","157157","1986-06-24T03:10:02","06:14"
"09298498017","09330371530","685819","2007-05-05T18:53:19","16:00"
"09689175368","09606779843","526386","1987-03-28T10:14:52","21:24"
"09433341172","09875554054","449332","1976-11-26T15:44:18","16:12"
"09793824245","09554933629","752937","2011-03-07T21:20:25","18:04"
"09900709718","09450696425","131414","2006-03-10T01:38:27","16:29"
