"plate","ssn","model","color"
"57س170","67490788256","دنا","آبی کاربنی"
"60ب898","84381111246","تیوتا","زرد"
"95ی306","84381111246","پژو","عنابی"
"42ر390","84381111246","هیوندا","فیروزه‌ای"
"20ق238","67769492519","رانا","آبی کاربنی"
"36ر374","67769492519","تیوتا","آبی کاربنی"
"56ر732","67769492519","هیوندا","سفید"
"38ی711","79592286954","پراید","زرد"
"37ق932","79592286954","رانا","نقره‌ای"
"82ب081","79592286954","رانا","سبز دودی"
"93ب289","13850965163","پراید","فیروزه‌ای"
"60ط557","13850965163","دنا","بنفش"
"64س816","34736813201","دنا","ارغوانی"
"91ج530","34736813201","دنا","زرد"
"14ج794","44257688222","پژو","زرد"
"10ج356","44257688222","پژو","آهکی"
"24ی035","44257688222","رانا","فیروزه‌ای"
"14ی426","21373821431","لامبورگینی","سبز دودی"
"80و345","21373821431","تیوتا","سفید"
"47س434","21373821431","پراید","خاکستری"
"49ج063","24198195597","دنا","سبز"
"40ب970","24198195597","تیوتا","سیاه"
"74ب757","53626771931","دنا","عنابی"
"58ب685","53626771931","تیوتا","فیروزه‌ای"
"88ط847","53626771931","تیوتا","عنابی"
"27ط313","85238897401","رانا","زرد"
"77ر596","85238897401","رانا","عنابی"
"74ط105","55425443522","هیوندا","زیتونی"
"99ر357","55425443522","لامبورگینی","سفید"
"24ب666","21803099490","دنا","فیروزه‌ای"
"36و712","30648577524","لامبورگینی","سبز"
"63ط683","26712738134","رانا","سبز دودی"
"66س043","26712738134","رانا","آهکی"
"63ی276","26712738134","لامبورگینی","آهکی"
"32ق795","72194583651","رانا","سفید"
"91ط452","24259661377","تیوتا","سبز دودی"
"46ی914","24259661377","هیوندا","خاکستری"
"60ط501","24259661377","تیوتا","سبز دودی"
"19ط733","67371368170","دنا","سبز دودی"
"77و973","67371368170","پراید","آهکی"
"32ی752","32714134012","رانا","عنابی"
"17و164","87070515537","تیوتا","زیتونی"
"70ر305","87070515537","پراید","آبی"
"18ر388","75548662470","دنا","خاکستری"
"35ر899","26533127384","دنا","فیروزه‌ای"
"55ب118","25155442794","دنا","سبز دودی"
"50ی612","48014094745","پژو","سیاه"
"17ب598","48014094745","رانا","زرد"
"21و279","48014094745","رانا","سبز"
"79ب965","11926010389","هیوندا","زیتونی"
"52ق635","55116187843","پراید","زیتونی"
"68ی431","55116187843","پراید","سیاه"
"58س922","16123396097","تیوتا","خاکستری"
"92ق880","16123396097","لامبورگینی","سبز"
"14و843","16123396097","پژو","زرد"
"61ط924","28865715775","دنا","سبز"
"62و828","28865715775","پژو","آهکی"
"69ب638","45722135491","لامبورگینی","عنابی"
"75س381","45722135491","پژو","بنفش"
"20ق713","45722135491","لامبورگینی","ارغوانی"
"15ج506","45140490107","پژو","خاکستری"
"92ب502","45140490107","دنا","سبز دودی"
"69ج938","45140490107","رانا","زرد"
"15ب839","78451825523","دنا","آهکی"
"36س364","57612172346","لامبورگینی","بنفش"
"28ق462","71079216210","تیوتا","زیتونی"
"84ی037","38608170039","پژو","زیتونی"
"26ب891","82034044209","هیوندا","ارغوانی"
"70ی133","82034044209","لامبورگینی","آبی"
"93ب974","57170782753","دنا","سبز دودی"
"29ق161","57170782753","تیوتا","عنابی"
"61ق533","19907660609","هیوندا","آبی"
"82و720","79680151209","پراید","عنابی"
"62ط143","79680151209","دنا","خاکستری"
"76ب070","34422094540","دنا","زیتونی"
"20ط403","34422094540","دنا","بنفش"
"30ج657","34422094540","هیوندا","خاکستری"
"63ق404","73895039486","تیوتا","سبز دودی"
"55ق070","56502172648","دنا","آهکی"
"25ب390","72468043867","هیوندا","خاکستری"
"64ط117","72468043867","پژو","آبی"
"40ج446","72468043867","لامبورگینی","نقره‌ای"
"60ط022","77305132896","هیوندا","زیتونی"
"60ی283","77305132896","دنا","زرد"
"66ق099","77305132896","پراید","آهکی"
"18ر853","84008983278","پراید","زیتونی"
"95و616","85732209385","پراید","زیتونی"
"79و988","85732209385","پراید","بنفش"
"42ر882","60188006639","هیوندا","سیاه"
"98ق593","28383916795","پراید","زیتونی"
"45س012","28383916795","هیوندا","عنابی"
"29ی709","28383916795","پژو","نقره‌ای"
"94ط155","48726662358","پژو","ارغوانی"
"18ی510","48726662358","پژو","عنابی"
"24ب481","24092550277","هیوندا","سبز دودی"
"72ب298","24092550277","رانا","بنفش"
"27ج305","32298404270","پژو","عنابی"
"48ی141","32298404270","هیوندا","سبز"
"59ب395","32298404270","تیوتا","سفید"
"98س953","56538345203","پراید","سیاه"
"79س855","56538345203","هیوندا","آبی کاربنی"
"61و956","56538345203","تیوتا","آهکی"
"24س520","10607986171","پراید","زیتونی"
"12ب631","10607986171","لامبورگینی","سیاه"
"15ر919","10607986171","پراید","خاکستری"
"92ر192","33815865259","لامبورگینی","زرد"
"50ط417","33815865259","پراید","فیروزه‌ای"
"33ج514","33815865259","پراید","نقره‌ای"
"34ج443","72794268260","پژو","خاکستری"
"13ق517","72794268260","پژو","زیتونی"
"77و290","72794268260","لامبورگینی","ارغوانی"
"93ق162","28999533776","هیوندا","سیاه"
"78ب289","55273911335","پراید","سبز دودی"
"51ب290","55273911335","پراید","آهکی"
"85س483","80930558938","پراید","سیاه"
"33ق563","80930558938","تیوتا","سبز"
"89ق733","97720354048","دنا","زیتونی"
"25ر493","97720354048","پژو","بنفش"
"83و840","97720354048","دنا","آبی"
"87ط137","84137837927","رانا","آبی"
"48ط418","84137837927","رانا","خاکستری"
"90ط780","21139927654","رانا","سیاه"
"50ط091","81381128868","تیوتا","فیروزه‌ای"
"13ط479","81381128868","پژو","سبز"
"31و593","81381128868","هیوندا","ارغوانی"
"70ر409","45861772293","پژو","نقره‌ای"
"62ب120","92960996487","رانا","فیروزه‌ای"
"27ط177","92960996487","هیوندا","آبی کاربنی"
"17ج155","92960996487","تیوتا","سفید"
"48ط671","96475589663","لامبورگینی","فیروزه‌ای"
"18ق837","96475589663","لامبورگینی","نقره‌ای"
"50ط578","96475589663","دنا","زیتونی"
"12ج358","61341499785","دنا","بنفش"
"54و021","61341499785","هیوندا","سبز دودی"
"74ج977","61341499785","رانا","زیتونی"
"15س051","24560571016","هیوندا","آبی کاربنی"
"62ج487","24560571016","پژو","نقره‌ای"
"60ر443","22914085774","لامبورگینی","ارغوانی"
"46ط881","22914085774","رانا","سیاه"
"43ی295","22914085774","دنا","زرد"
"76و428","82811844543","رانا","فیروزه‌ای"
"89ط532","49450002731","دنا","عنابی"
"12و308","49450002731","هیوندا","آهکی"
"34ط796","49450002731","رانا","سیاه"
"77ر248","47732063710","پژو","عنابی"
"42ج019","47732063710","هیوندا","سفید"
"89س469","47732063710","دنا","آبی"
"68ب517","48863303402","دنا","سبز"
"19و807","98177198387","دنا","ارغوانی"
"21ی722","98177198387","پراید","سبز"
"10ق628","98177198387","رانا","نقره‌ای"
"46ق462","46136923346","پراید","زیتونی"
"30ب237","60804931474","پژو","زیتونی"
"59و913","60804931474","پراید","بنفش"
