"ssn","price","postal_code","size","address"
"84381111246","205707288","1057768073","210","14702 آرش کوه واحد 786, شهر مهديس, کرمان 266547"
"84381111246","894563042","1019381058","84","0339 هنری خیابان, بندر رقیه, سیستان و بلوچستان 399"
"21311572759","61345096","9662292804","285","60754 حسنی جنب, شمال آیدا, فارس 947"
"67769492519","290203596","7370852931","133","961 الناز دره واحد 045, بندر آیدا, مازندران 5841547991"
"67769492519","819122497","6235007894","100","9194 فاطمه پل, شرق یاسمین, خراسان شمالی 7353"
"67769492519","990249295","7152640594","196","25891 پریا جزیره سوئیت 117, شهرستان مريم, زنجان 4645"
"79592286954","240658264","6259539801","256","314 پرهام آزاد راه واحد 779, غرب سوگند, بوشهر 03165"
"79592286954","592077281","2905140135","85","3161 محمدعلي آزاد راه واحد 334, شرق حلما, گیلان 38115"
"13850965163","779945190","4511382206","104","856 آرمين پل واحد 138, باغات پارسا, کرمانشاه 3316839680"
"34736813201","158071415","6217358510","203","1986 نعمتی کوه, شرق مبين, زنجان 03156"
"44587880335","460796846","9118729056","293","0686 امیرمهدی تونل, بندر الینا, هرمزگان 5553375824"
"21373821431","539591026","7009348828","99","8031 خسروجردی بن بست, روستای عباس, یزد 9347"
"24198195597","508974058","2276806665","149","44906 پویان جنب, شهر محدثه, چهارمحال و بختیاری 7026310775"
"53626771931","845088003","5166505221","291","15089 آرتین بن بست, غرب امیر علی, تهران 2861"
"85238897401","56963716","9579819634","85","4229 هوشیار کوچه, شهر علی اصغر, مازندران 804056"
"30648577524","899378095","3179512989","128","979 یزدی چهار راه سوئیت 292, غرب متین, اردبیل 784"
"30648577524","759116623","9179355983","142","142 اميرمحمد تونل, غرب عسل, ایلام 5463"
"30648577524","440991173","6604600257","280","71754 موسوی دره واحد 988, دهستان مهديس, همدان 9292"
"26712738134","873423567","9452141315","157","79835 وثاق تقاطع, غرب علي, خراسان شمالی 8447762179"
"26712738134","423490750","1355589643","169","0897 محمدامين جاده, بندر عرفان, لرستان 4438"
"26712738134","496842169","1911624945","171","31722 هلیا پل سوئیت 501, شهر محمدجواد, یزد 15010"
"72145435624","878226246","6863916030","191","555 بهمنی جزیره واحد 501, شهرستان هليا, کهگیلویه و بویراحمد 2993"
"72145435624","654389547","4869409982","110","511 آیدا پل, شمال هستی, کرمانشاه 598"
"73715393803","483648673","2968702099","294","2652 اشتری چهار راه, شهر ریحانه, لرستان 1866097600"
"73715393803","806009246","8608206687","270","44090 پرهام بزرگ راه سوئیت 975, شرق ياسين, خوزستان 59027"
"73715393803","901889456","6329909423","218","35449 مبين میدان, جنوب حلما, سیستان و بلوچستان 481"
"72194583651","590186855","8542174873","93","2355 امیرمحمد جاده, شرق عباس, چهارمحال و بختیاری 856744"
"24259661377","322400920","8046452218","291","6740 پارسا تونل واحد 971, شهرستان آرش, اردبیل 6003396679"
"24259661377","162149357","9562442634","144","955 موحد کوه, غرب علي, خراسان جنوبی 3256001930"
"24259661377","330881957","9025035347","90","9945 طلوعی پل, روستای آرش, کرمان 154848"
"67371368170","83282467","9919427470","193","5463 حسام بزرگ راه, شهرستان آریا, مرکزی 0920904117"
"32714134012","530621743","9107359575","214","81789 مجتبوی آزاد راه, شهر علي, مرکزی 593"
"87070515537","767116105","9835697322","188","30779 ابوالفضل تقاطع, غرب متين, البرز 413743"
"26533127384","335189494","7554892578","102","926 مبين پل سوئیت 981, دهستان پارسا, کهگیلویه و بویراحمد 376"
"25155442794","203566630","3748646855","130","9187 خسروجردی کوه واحد 274, شرق ماهان, همدان 704879"
"25155442794","939478319","6469964593","148","4394 ریحانه کوچه واحد 576, استان ساميار, اصفهان 3978"
"25155442794","123570599","4096580178","149","257 عباسی کوچه, دهستان آرمین, کردستان 35420"
"48014094745","628144737","5703028699","230","1513 قاضی خیابان سوئیت 357, غرب امیرمحمد, سمنان 6180"
"11926010389","442903943","5524812794","255","14624 عبدالعلی خیابان, غرب اميرمحمد, خراسان 0780077991"
"55116187843","853264008","3258894538","199","877 لاهوتی جنب, بندر نازنین, قم 4957"
"28865715775","509048705","3656506357","237","8043 آرتين پل سوئیت 855, بندر ريحانه, هرمزگان 203212"
"28865715775","332433255","1300422646","127","1393 هليا پل, شهرستان اميرمهدي, قزوین 043552"
"45140490107","621717310","7382732603","92","58285 ریحانه جاده واحد 036, غرب محيا, لرستان 254"
"45140490107","979061918","5235652876","132","99741 صنایعی جاده سوئیت 734, دهستان هانيه, اردبیل 876"
"45140490107","137437610","2058926895","91","5051 پویان جزیره واحد 964, استان زينب, آذربایجان شرقی 527091"
"78451825523","961601850","9066931392","95","180 هاشمی خیابان, بندر آراد, خراسان شمالی 04334"
"38608170039","336982206","8228506438","221","1619 خسروجردی خیابان واحد 526, بندر محمدياسين, خوزستان 429931"
"38608170039","159839442","6040524335","84","329 جهانی میدان سوئیت 631, روستای رضا, یزد 835"
"38608170039","570558025","7066453927","117","139 عبدالمالکی بلوار سوئیت 829, شرق محمدجواد, کرمانشاه 93657"
"82034044209","867480150","8599489291","270","17918 تحسینی چهار راه واحد 371, شهر آراد, آذربایجان شرقی 719"
"82034044209","133023744","1850152140","134","580 ضرغامی بلوار واحد 597, دهستان محمدامين, البرز 7204"
"57170782753","772239494","2811501624","80","666 تنزیلی کوچه واحد 614, بندر عليرضا, تهران 880300"
"57170782753","926841144","9277043994","250","301 اسرا بزرگ راه, جنوب امیرعباس, همدان 6600"
