"from","to","ownership_id","date","amount"
"67490788256","57س170","280195","1980-08-29","351448000"
"84381111246","1057768073","897714","2020-07-19","552808000"
"84381111246","1019381058","695603","1984-07-26","727394000"
"84381111246","60ب898","992410","1984-05-20","174385000"
"84381111246","95ی306","607711","1976-07-25","377051000"
"84381111246","42ر390","900159","2010-11-04","91371000"
"21311572759","9662292804","583950","1975-04-27","597935000"
"67769492519","7370852931","469473","1999-05-03","663133000"
"67769492519","6235007894","565006","2013-10-28","591962000"
"67769492519","7152640594","356707","1978-05-15","385097000"
"67769492519","20ق238","277344","2017-07-13","261218000"
"67769492519","36ر374","952725","2000-11-25","308238000"
"67769492519","56ر732","912189","1974-08-17","250415000"
"79592286954","6259539801","378639","1994-12-07","357903000"
"79592286954","2905140135","960142","2008-05-28","792126000"
"79592286954","38ی711","627935","1980-11-24","224465000"
"79592286954","37ق932","413792","1991-05-19","342877000"
"79592286954","82ب081","234924","1991-10-11","385095000"
"13850965163","4511382206","996415","1997-10-04","455091000"
"13850965163","93ب289","182847","1972-05-25","359400000"
"13850965163","60ط557","568613","2020-10-06","397467000"
"34736813201","6217358510","251247","2010-04-03","564303000"
"34736813201","64س816","961557","1983-09-19","367560000"
"34736813201","91ج530","973087","1972-11-18","91818000"
"44587880335","9118729056","920766","2007-07-15","570175000"
"44257688222","14ج794","323239","2009-04-01","319603000"
"44257688222","10ج356","807356","2015-10-15","251279000"
"44257688222","24ی035","395407","2018-08-20","281754000"
"21373821431","7009348828","772648","1988-02-21","250129000"
"21373821431","14ی426","223624","1979-07-13","225002000"
"21373821431","80و345","418542","2009-07-25","366859000"
"21373821431","47س434","416202","1988-12-08","300289000"
"24198195597","2276806665","497725","2019-09-15","281221000"
"24198195597","49ج063","420839","2012-03-15","93826000"
"24198195597","40ب970","687248","1986-07-10","54003000"
"53626771931","5166505221","363729","1978-10-25","259039000"
"53626771931","74ب757","631475","1998-08-20","385705000"
"53626771931","58ب685","343313","1981-09-01","88035000"
"53626771931","88ط847","279485","2010-12-27","75983000"
"85238897401","9579819634","258703","1987-03-13","679123000"
"85238897401","27ط313","184316","1991-05-27","388795000"
"85238897401","77ر596","132429","1982-11-23","398450000"
"55425443522","74ط105","267051","2020-04-20","31336000"
"55425443522","99ر357","380764","2012-10-25","151310000"
"21803099490","24ب666","117140","2019-05-21","39894000"
"30648577524","3179512989","978643","2018-06-26","280671000"
"30648577524","9179355983","541291","1987-07-10","367099000"
"30648577524","6604600257","737618","1976-08-04","557314000"
"30648577524","36و712","469218","2013-04-03","283193000"
"26712738134","9452141315","645823","2008-06-14","198734000"
"26712738134","1355589643","757634","1992-01-06","469747000"
"26712738134","1911624945","138021","2009-11-03","722411000"
"26712738134","63ط683","827819","2019-05-08","21587000"
"26712738134","66س043","450543","2001-09-28","162264000"
"26712738134","63ی276","494403","1986-02-24","198991000"
"72145435624","6863916030","862949","2011-11-23","369520000"
"72145435624","4869409982","662487","2002-09-18","557491000"
"73715393803","2968702099","472633","1994-10-14","653906000"
"73715393803","8608206687","758053","2019-09-28","517507000"
"73715393803","6329909423","307937","2018-08-02","236451000"
"72194583651","8542174873","523409","2008-03-04","234953000"
"72194583651","32ق795","623330","1993-04-22","123910000"
"24259661377","8046452218","912036","2005-08-17","603149000"
"24259661377","9562442634","180265","1989-03-20","469812000"
"24259661377","9025035347","963747","1983-07-26","426391000"
"24259661377","91ط452","206023","1984-05-06","271701000"
"24259661377","46ی914","857368","1988-10-25","288379000"
"24259661377","60ط501","528151","2010-07-21","368693000"
"67371368170","9919427470","570825","1985-03-01","760395000"
"67371368170","19ط733","688387","1971-01-19","342608000"
"67371368170","77و973","664946","1985-03-02","128803000"
"32714134012","9107359575","843385","1979-03-15","290534000"
"32714134012","32ی752","622376","1995-10-28","147707000"
"87070515537","9835697322","235990","1970-09-20","474543000"
"87070515537","17و164","164072","2019-03-22","182152000"
"87070515537","70ر305","692969","2005-02-17","173093000"
"75548662470","18ر388","733805","2018-12-11","223492000"
"26533127384","7554892578","374194","2004-03-10","158860000"
"26533127384","35ر899","417224","1994-08-18","172238000"
"25155442794","3748646855","361221","1970-03-11","652693000"
"25155442794","6469964593","992078","2017-05-14","342620000"
"25155442794","4096580178","139323","1996-06-26","594483000"
"25155442794","55ب118","764144","1977-06-06","378851000"
"48014094745","5703028699","876878","2006-11-16","576741000"
"48014094745","50ی612","204680","2008-06-18","240024000"
"48014094745","17ب598","378176","1981-01-29","22612000"
"48014094745","21و279","731584","1982-06-30","251403000"
"11926010389","5524812794","278821","1970-08-10","389968000"
"11926010389","79ب965","253672","2004-05-10","253206000"
"55116187843","3258894538","684204","1970-06-28","200012000"
"55116187843","52ق635","157370","2012-10-09","79874000"
"55116187843","68ی431","173725","2010-11-15","32182000"
"16123396097","58س922","538007","1975-11-22","379012000"
"16123396097","92ق880","435002","1997-07-23","383280000"
"16123396097","14و843","396049","1997-10-25","382943000"
"28865715775","3656506357","865773","2004-01-14","209917000"
"28865715775","1300422646","202349","2007-07-08","225274000"
"28865715775","61ط924","767262","2006-06-19","382680000"
"28865715775","62و828","717318","2018-12-30","359299000"
"45722135491","69ب638","171113","1993-03-27","147213000"
"45722135491","75س381","635151","1984-07-02","53073000"
"45722135491","20ق713","258917","1987-07-12","107607000"
"45140490107","7382732603","291384","2007-07-16","747522000"
"45140490107","5235652876","151551","1985-07-22","782850000"
"45140490107","2058926895","414147","1996-10-18","561962000"
"45140490107","15ج506","579221","1995-06-22","365555000"
"45140490107","92ب502","563622","1971-07-12","165692000"
"45140490107","69ج938","897293","1982-10-13","380223000"
"78451825523","9066931392","805178","1998-02-15","240807000"
"78451825523","15ب839","207825","2014-09-22","216996000"
"57612172346","36س364","888735","1972-10-12","375879000"
"71079216210","28ق462","591589","2014-11-15","373832000"
"38608170039","8228506438","645585","1997-02-16","714738000"
"38608170039","6040524335","918697","1970-10-02","292434000"
"38608170039","7066453927","588530","1988-07-12","744461000"
"38608170039","84ی037","260180","1989-12-10","66198000"
"82034044209","8599489291","228449","2001-12-20","325446000"
"82034044209","1850152140","432768","2017-03-14","645624000"
"82034044209","26ب891","518245","1993-09-23","118903000"
"82034044209","70ی133","779879","1975-04-18","126255000"
"57170782753","2811501624","762650","1971-10-04","382345000"
"57170782753","9277043994","155607","2008-03-16","443735000"
"57170782753","93ب974","419649","1996-12-09","390254000"
"57170782753","29ق161","850233","1981-06-19","131922000"
"19907660609","9861057293","526086","1987-12-20","195072000"
"19907660609","6381798085","347567","2014-11-04","794660000"
"19907660609","61ق533","614268","1979-03-14","125046000"
"79680151209","7296962260","580620","1989-07-27","608050000"
"79680151209","82و720","850846","2020-10-24","79965000"
"79680151209","62ط143","590188","1995-04-14","119267000"
"34422094540","76ب070","359773","1991-07-08","219592000"
"34422094540","20ط403","719110","2007-05-28","31119000"
"34422094540","30ج657","545146","2005-11-10","258381000"
"73895039486","63ق404","418378","1981-04-24","174556000"
"56502172648","8499086742","777275","1979-04-30","667265000"
"56502172648","1055809487","108408","1997-12-27","346919000"
"56502172648","9009286650","826724","1974-11-21","595263000"
"56502172648","55ق070","586208","1990-07-31","354199000"
"88453659965","1713849459","602377","2001-10-06","626390000"
"88453659965","1767003319","927468","2016-09-29","702741000"
"88453659965","8379684683","119284","1973-08-09","403561000"
"72468043867","4614639864","543534","1972-05-29","611586000"
"72468043867","25ب390","886699","2001-01-27","140190000"
"72468043867","64ط117","566754","1990-12-11","262734000"
"72468043867","40ج446","201375","2005-11-02","323928000"
"77305132896","7011872610","420146","1974-10-29","414704000"
"77305132896","60ط022","727502","1973-12-26","201598000"
"77305132896","60ی283","165681","1994-10-11","185388000"
"77305132896","66ق099","596272","2019-04-24","85407000"
"84008983278","4157808128","517681","1981-11-29","794204000"
"84008983278","18ر853","889283","2018-03-26","292435000"
"85732209385","5665770631","313477","1997-12-10","231036000"
"85732209385","95و616","522294","1987-08-03","66057000"
