"first_name","last_name","ssn","birthday","city","work"
"مهدی","علی پور","67490788256","1989-10-13","جنوب النا","آفا شیمی"
"ثنا","شاکری","84381111246","2018-06-20","استان سجاد","تامین تابلو"
"سجاد","علی پور","21311572759","1976-05-25","شرق احسان","سيمان بهبهان"
"سجاد","وثاق","67769492519","1999-07-12","استان نرگس","صنعتی جهان چیدمان-جلیس"
"هليا","فرجی","79592286954","2018-05-08","غرب زینب","ایران گچ"
"محمدجواد","سغیری","53996038796","1974-11-05","شهرستان اسرا","گروه كاشي و سراميك"
"رقيه","مجتهدی","13850965163","1991-05-20","باغات مهسا","گهر انرژي سيرجان"
"آيناز","جعفر پور","34736813201","1996-03-16","جنوب آیدا","سرمايه گذاري معيار صنعت پارس"
"یوسف","علی شاهی","44587880335","2019-05-23","جنوب مهديس","عمران و توسعه شاهد"
"علی","میردامادی","44257688222","1982-02-11","شرق آرین","فرآوري معدني اپال کاني پارس"
"یگانه","هومن","21373821431","2010-01-06","شرق ملیكا","صنایع استیل البرز"
"الناز","قاضی","24198195597","1975-08-12","شهرستان محمدپارسا","صنعتي بهشهر"
"مبینا","بهمنی","53626771931","1985-08-09","باغات مریم","مهندسی فیروزا"
"مهسا","معین","85238897401","1974-08-30","استان آریا","صنایع پترو شیمی بو علی سینا"
"یاسمین","علیجانی","55425443522","1988-12-14","شمال رضا","گروه شرکتهای مشاوره"
"نیما","ظفری","21803099490","2005-06-01","جنوب پرنيا","پالایش نفت تهران"
"اسما","میردامادی","57408232788","1989-12-21","جنوب طاها","امداد خودرو سایپا"
"اميرمهدي","قاضی","30648577524","1975-04-21","استان آيدا","پتروشیمی لردگان"
"حسين","موحد","26712738134","1997-08-13","شرق سجاد","خیام الکتریک"
"يوسف","رسولی","72145435624","2008-02-28","دهستان محمدعلي","سرمايه گذاري صنعت نفت – هلدينگ"
"محمدجواد","تحسینی","73715393803","2000-01-18","دهستان حسین","پتروشیمی جهرم"
"اسما","جعفر پور","72194583651","2016-08-25","شهر بهار","گروه توليدات پتروشيمي"
"عليرضا","جلالی","24259661377","1975-09-27","شرق ثنا","معدني و صنعتي چادرملو"
"مهدی","اشتری","67371368170","1992-10-06","غرب امیررضا","توليد مواد اوليه دارو پخش"
"آريا","ایروانی","32714134012","2020-01-10","شمال سبحان","صنایع کاشی اصفهان"
"یاسین","سغیری","87070515537","1984-08-01","استان عرفان","مهندسي نصير ماشين"
"اميرعلي","اکبر پور","75548662470","2010-09-05","بندر پرهام","تولیدی نوشابه ارم نوش"
"آيدا","قاضی","26533127384","1980-08-17","شهرستان فاطمه","بانک سرمایه"
"مهدیه","یزدی","25155442794","1975-02-13","روستای مهدی","پارس دارو"
"رضا","شبیری","65076558310","1974-01-27","روستای حنانه","سیمان لامرد"
"متین","عبدالعلی","48014094745","1987-10-13","شهر ماهان","وطن اصفهان"
"يسنا","هومن","11926010389","1971-10-09","روستای امیرمحمد","پتروشيمي اصفهان"
"مبين","الوندی","55116187843","1976-12-05","شرق هانيه","سرمايه گذاري بانك ملي ايران – هلدينگ"
"فاطمه زهرا","ضابطی","16123396097","2002-07-16","دهستان پارسا","توزيع داروهاي دامي داروپخش"
"آتنا","عزیزی","28865715775","2017-01-11","غرب حسین","صنایع کاشی تیما"
"حسين","نوبختی","45722135491","2015-07-31","باغات حسنا","ایریتک"
